PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
28,79,4,1,28079004_1_38,2019,4,7,N1.0,V1.0,V1.0,V1.0,V1.0,V1.0,V1.0,V1.0,V1.0,V1.0,V1.0,V2.0,V0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,4,6,28079004_6_48,2019,4,7,V0.4,V0.4,V0.4,V0.3,V0.3,V0.3,V0.3,V0.4,V0.4,V0.4,V0.3,V0.3,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,4,7,28079004_7_8,2019,4,7,V6.0,V6.0,V4.0,V3.0,V1.0,V1.0,V1.0,V2.0,V3.0,V3.0,V3.0,V5.0,V0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,4,8,28079004_8_8,2019,4,7,V19.0,V18.0,V16.0,V11.0,V7.0,V6.0,V8.0,V17.0,V20.0,V14.0,V12.0,V16.0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,4,12,28079004_12_8,2019,4,7,V27.0,V27.0,V22.0,V15.0,V9.0,V8.0,V10.0,V19.0,V24.0,V18.0,V16.0,V23.0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,8,1,28079008_1_38,2019,4,7,V8.0,V8.0,V8.0,V8.0,V8.0,V8.0,V8.0,V8.0,V8.0,V8.0,V8.0,V8.0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,8,6,28079008_6_48,2019,4,7,V0.1,V0.1,V0.1,V0.1,V0.1,V0.1,V0.1,V0.1,V0.1,V0.1,V0.1,V0.1,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,8,7,28079008_7_8,2019,4,7,V8.0,V10.0,V8.0,V7.0,V7.0,V8.0,V5.0,V4.0,V5.0,V1.0,V2.0,V2.0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,8,8,28079008_8_8,2019,4,7,V45.0,V44.0,V39.0,V35.0,V34.0,V33.0,V34.0,V37.0,V40.0,V16.0,V13.0,V14.0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,8,9,28079008_9_47,2019,4,7,V7.0,V5.0,V4.0,V3.0,V2.0,V2.0,V2.0,V3.0,V1.0,V1.0,V2.0,V1.0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,8,10,28079008_10_47,2019,4,7,V12.0,V10.0,V10.0,V7.0,V6.0,V6.0,V5.0,V6.0,V5.0,V4.0,V6.0,V2.0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,8,12,28079008_12_8,2019,4,7,V58.0,V59.0,V52.0,V46.0,V44.0,V45.0,V42.0,V43.0,V48.0,V18.0,V16.0,V17.0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,8,14,28079008_14_6,2019,4,7,V56.87,V55.36,V58.46,V58.03,V59.65,V61.8,V60.67,V56.57,V58.25,V76.26,V85.02,V89.0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,8,20,28079008_20_59,2019,4,7,V0.7,V0.6,V0.5,V0.4,V0.3,V0.3,V0.4,V0.5,V0.5,V0.5,V0.3,V0.3,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,8,30,28079008_30_59,2019,4,7,V0.5,V0.4,V0.4,V0.3,V0.3,V0.3,V0.3,V0.4,V0.5,V0.4,V0.3,V0.3,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
28,79,8,35,28079008_35_59,2019,4,7,V0.2,V0.2,V0.2,V0.2,V0.1,V0.1,V0.2,V0.2,V0.2,V0.2,V0.2,V0.2,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0,N0
