PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2019;04;02;00003;V;00003;V;00004;V;00004;V;00003;V;00004;V;00004;V;00006;V;00009;V;00006;V;00006;V;00005;V;00004;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00000;N;00000;N;00000;N;00000;N
28;079;4;6;28079004_6_48;2019;04;02;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.8;V;001.2;V;000.7;V;000.6;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;00000;N;00000;N;00000;N;00000;N
28;079;4;7;28079004_7_8;2019;04;02;00001;V;00002;V;00006;V;00006;V;00004;V;00007;V;00014;V;00100;V;00161;V;00071;V;00066;V;00034;V;00032;V;00021;V;00011;V;00007;V;00007;V;00007;V;00007;V;00006;V;00000;N;00000;N;00000;N;00000;N
28;079;4;8;28079004_8_8;2019;04;02;00022;V;00040;V;00064;V;00060;V;00038;V;00045;V;00056;V;00070;V;00078;V;00070;V;00077;V;00059;V;00064;V;00053;V;00040;V;00032;V;00023;V;00027;V;00025;V;00040;V;00000;N;00000;N;00000;N;00000;N
28;079;4;12;28079004_12_8;2019;04;02;00024;V;00043;V;00073;V;00069;V;00044;V;00056;V;00078;V;00223;V;00326;V;00179;V;00178;V;00111;V;00114;V;00085;V;00057;V;00043;V;00034;V;00037;V;00035;V;00049;V;00000;N;00000;N;00000;N;00000;N
28;079;8;1;28079008_1_38;2019;04;02;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00000;N;00000;N;00000;N;00000;N
28;079;8;6;28079008_6_48;2019;04;02;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N
28;079;8;7;28079008_7_8;2019;04;02;00003;V;00002;V;00002;V;00001;V;00002;V;00004;V;00030;V;00059;V;00076;V;00093;V;00080;V;00054;V;00035;V;00033;V;00016;V;00016;V;00015;V;00021;V;00025;V;00019;V;00000;N;00000;N;00000;N;00000;N
28;079;8;8;28079008_8_8;2019;04;02;00050;V;00044;V;00038;V;00029;V;00026;V;00055;V;00073;V;00086;V;00092;V;00095;V;00094;V;00084;V;00075;V;00075;V;00061;V;00064;V;00052;V;00065;V;00072;V;00070;V;00000;N;00000;N;00000;N;00000;N
28;079;8;9;28079008_9_47;2019;04;02;00002;V;00003;V;00001;V;00003;V;00006;V;00002;V;00008;V;00007;V;00009;V;00014;V;00023;V;00035;V;00022;V;00011;V;00016;V;00007;V;00003;V;00002;V;00002;V;00013;V;00000;N;00000;N;00000;N;00000;N
28;079;8;10;28079008_10_47;2019;04;02;00007;V;00006;V;00003;V;00005;V;00010;V;00005;V;00014;V;00016;V;00024;V;00031;V;00040;V;00050;V;00035;V;00026;V;00029;V;00019;V;00012;V;00012;V;00006;V;00021;V;00000;N;00000;N;00000;N;00000;N
28;079;8;12;28079008_12_8;2019;04;02;00055;V;00048;V;00041;V;00030;V;00029;V;00061;V;00119;V;00176;V;00208;V;00237;V;00216;V;00167;V;00129;V;00125;V;00085;V;00088;V;00074;V;00097;V;00111;V;00099;V;00000;N;00000;N;00000;N;00000;N
28;079;8;14;28079008_14_6;2019;04;02;52.26;V;52.38;V;50.61;V;50.72;V;48.72;V;19.89;V;09.53;V;07.77;V;06.06;V;08.18;V;12.53;V;25.43;V;33.41;V;41.95;V;55.20;V;53.54;V;66.55;V;54.53;V;50.91;V;50.67;V;00000;N;00000;N;00000;N;00000;N
28;079;8;20;28079008_20_59;2019;04;02;001.4;V;001.6;V;001.2;V;001.0;V;001.3;V;001.7;V;001.5;V;002.3;V;004.4;V;008.4;V;004.7;V;004.7;V;003.5;V;003.6;V;002.9;V;002.9;V;002.0;V;002.6;V;002.2;V;002.1;V;00000;N;00000;N;00000;N;00000;N
28;079;8;30;28079008_30_59;2019;04;02;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.7;V;001.2;V;001.5;V;001.4;V;001.1;V;000.8;V;000.9;V;000.8;V;000.7;V;000.5;V;000.6;V;000.6;V;000.7;V;00000;N;00000;N;00000;N;00000;N
28;079;8;35;28079008_35_59;2019;04;02;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.3;V;000.4;V;000.6;V;000.7;V;000.7;V;000.5;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;00000;N;00000;N;00000;N;00000;N
